date,username,full_text,label
2026-05-13,user_4942,Pelayanan di sini bener-bener mengecewakan dan error terus. mantap lah!,0
2026-05-11,user_4677,Pelayanan di sini standar dan Pelayanan di sini yang lain standar.,1
2026-05-06,user_4795,Pemerintah bener-bener bagus dan memuaskan. mantap lah!,2
2026-05-22,user_8394,Proyek pemerintah tidak error terus tapi error terus. mantap lah!,0
2026-05-19,user_8380,Pemerintah perlu sosialisasi lagi sehingga Pemerintah yang lain seperti biasa.,1
2026-05-18,user_7997,Aplikasi ini kurang cepat dan cepat. mantap lah!,2
2026-05-24,user_7865,Sistem baru lumayan gagal sehingga mengecewakan. perlu ditingkatkan.,0
2026-05-17,user_7057,Pelayanan di sini biasa saja dan Pelayanan di sini yang lain biasa saja.,1
2026-05-20,user_2380,Pemerintah sangat keren karena memuaskan. ga jelas bgt.,2
2026-05-09,user_1289,Proyek pemerintah tidak mengecewakan tapi membingungkan. perlu ditingkatkan.,0
2026-05-11,user_6550,Pemerintah biasa saja karena Pemerintah yang lain standar.,1
2026-05-29,user_4668,Pemerintah bener-bener bagus dan memuaskan. perlu ditingkatkan.,2
2026-05-10,user_2386,Aplikasi ini sangat lemot tapi membingungkan. perlu ditingkatkan.,0
2026-05-02,user_5623,Pemerintah standar sehingga Pemerintah yang lain standar.,1
2026-05-15,user_3890,Proyek pemerintah tidak memuaskan tapi keren. semoga makin baik.,2
2026-05-18,user_4300,Aplikasi ini tidak buruk karena error terus. mantap lah!,0
2026-05-14,user_3079,Pemerintah seperti biasa tapi Pemerintah yang lain biasa saja.,1
2026-05-19,user_7210,Pelayanan di sini bener-bener cepat dan inovatif. mantap lah!,2
2026-05-04,user_2479,Fitur AI nya tidak membingungkan karena mengecewakan. perlu ditingkatkan.,0
2026-05-16,user_1820,Sistem baru perlu sosialisasi lagi karena Sistem baru yang lain seperti biasa.,1
2026-05-30,user_2824,Pelayanan di sini bener-bener keren tapi membantu. ga jelas bgt.,2
2026-05-18,user_7761,Aplikasi ini kurang membingungkan sehingga buruk. perlu ditingkatkan.,0
2026-05-24,user_7181,Sistem baru standar karena Sistem baru yang lain biasa saja.,1
2026-05-02,user_2009,Pemerintah kurang inovatif sehingga inovatif. mantap lah!,2
2026-05-18,user_9254,Aplikasi ini kurang error terus sehingga mengecewakan. perlu ditingkatkan.,0
2026-05-11,user_6293,Aplikasi ini seperti biasa tapi Aplikasi ini yang lain biasa saja.,1
2026-05-28,user_9731,Sistem baru kurang keren karena memuaskan. perlu ditingkatkan.,2
2026-05-15,user_8287,Pemerintah tidak error terus karena buruk. perlu ditingkatkan.,0
2026-05-26,user_1105,Pemerintah perlu sosialisasi lagi karena Pemerintah yang lain seperti biasa.,1
2026-05-26,user_5124,Sistem baru tidak membantu tapi membantu. perlu ditingkatkan.,2
2026-05-14,user_1099,Sistem baru lumayan membingungkan karena gagal. ga jelas bgt.,0
2026-05-13,user_1521,Fitur AI nya standar karena Fitur AI nya yang lain standar.,1
2026-05-24,user_4254,Fitur AI nya lumayan keren karena bagus. perlu ditingkatkan.,2
2026-05-22,user_7075,Pelayanan di sini bener-bener gagal dan gagal. mantap lah!,0
2026-05-27,user_4588,Proyek pemerintah perlu sosialisasi lagi karena Proyek pemerintah yang lain seperti biasa.,1
2026-05-02,user_3064,Proyek pemerintah bener-bener memuaskan sehingga cepat. mantap lah!,2
2026-05-27,user_7185,Pemerintah tidak mengecewakan karena gagal. mantap lah!,0
2026-05-08,user_1181,Fitur AI nya standar karena Fitur AI nya yang lain standar.,1
2026-05-02,user_6364,Sistem baru kurang cepat sehingga inovatif. perlu ditingkatkan.,2
2026-05-23,user_4970,Pelayanan di sini lumayan buruk karena buruk. mantap lah!,0
2026-05-31,user_4041,Proyek pemerintah perlu sosialisasi lagi sehingga Proyek pemerintah yang lain biasa saja.,1
2026-05-22,user_7190,Pelayanan di sini lumayan membantu tapi bagus. bikin pusing.,2
2026-05-11,user_4036,Pemerintah sangat error terus karena gagal. mantap lah!,0
2026-05-24,user_2004,Proyek pemerintah perlu sosialisasi lagi tapi Proyek pemerintah yang lain biasa saja.,1
2026-05-27,user_6540,Pelayanan di sini sangat keren sehingga membantu. mantap lah!,2
2026-05-08,user_7323,Fitur AI nya lumayan buruk dan error terus. bikin pusing.,0
2026-05-14,user_4955,Fitur AI nya seperti biasa dan Fitur AI nya yang lain standar.,1
2026-05-08,user_7434,Sistem baru tidak cepat tapi memuaskan. bikin pusing.,2
2026-05-30,user_5909,Sistem baru kurang mengecewakan sehingga gagal. bikin pusing.,0
2026-05-04,user_2839,Sistem baru seperti biasa karena Sistem baru yang lain standar.,1
2026-05-03,user_8609,Proyek pemerintah bener-bener cepat tapi keren. ga jelas bgt.,2
2026-05-08,user_8209,Pemerintah sangat gagal karena mengecewakan. perlu ditingkatkan.,0
2026-05-18,user_4751,Sistem baru seperti biasa dan Sistem baru yang lain perlu sosialisasi lagi.,1
2026-05-22,user_4067,Fitur AI nya lumayan keren karena membantu. semoga makin baik.,2
2026-05-29,user_8507,Proyek pemerintah bener-bener mengecewakan sehingga membingungkan. bikin pusing.,0
2026-05-18,user_1849,Aplikasi ini standar dan Aplikasi ini yang lain biasa saja.,1
2026-05-28,user_6338,Pemerintah sangat cepat dan bagus. mantap lah!,2
2026-05-07,user_6903,Pelayanan di sini kurang mengecewakan sehingga gagal. mantap lah!,0
2026-05-29,user_7434,Sistem baru biasa saja karena Sistem baru yang lain seperti biasa.,1
2026-05-13,user_4320,Pelayanan di sini lumayan keren karena memuaskan. perlu ditingkatkan.,2
2026-05-18,user_2060,Pelayanan di sini sangat mengecewakan karena lemot. semoga makin baik.,0
2026-05-08,user_8202,Aplikasi ini perlu sosialisasi lagi dan Aplikasi ini yang lain perlu sosialisasi lagi.,1
2026-05-04,user_9004,Sistem baru bener-bener membantu dan inovatif. perlu ditingkatkan.,2
2026-05-05,user_8170,Sistem baru tidak mengecewakan karena membingungkan. bikin pusing.,0
2026-05-28,user_9449,Proyek pemerintah perlu sosialisasi lagi tapi Proyek pemerintah yang lain biasa saja.,1
2026-05-17,user_4111,Sistem baru kurang memuaskan dan inovatif. bikin pusing.,2
2026-05-09,user_5274,Pelayanan di sini sangat membingungkan sehingga lemot. mantap lah!,0
2026-05-11,user_6683,Pemerintah biasa saja sehingga Pemerintah yang lain standar.,1
2026-05-15,user_8241,Proyek pemerintah kurang cepat sehingga membantu. semoga makin baik.,2
2026-05-01,user_1098,Aplikasi ini tidak error terus tapi membingungkan. semoga makin baik.,0
2026-05-01,user_3763,Proyek pemerintah perlu sosialisasi lagi dan Proyek pemerintah yang lain standar.,1
2026-05-13,user_9947,Pemerintah lumayan cepat dan inovatif. perlu ditingkatkan.,2
2026-05-14,user_3999,Sistem baru lumayan mengecewakan dan error terus. ga jelas bgt.,0
2026-05-24,user_3329,Proyek pemerintah standar karena Proyek pemerintah yang lain biasa saja.,1
2026-05-17,user_7351,Pelayanan di sini kurang keren tapi cepat. bikin pusing.,2
2026-05-30,user_4320,Sistem baru tidak membingungkan sehingga buruk. semoga makin baik.,0
2026-05-16,user_7326,Aplikasi ini standar sehingga Aplikasi ini yang lain seperti biasa.,1
2026-05-17,user_5084,Pemerintah kurang bagus tapi bagus. semoga makin baik.,2
2026-05-04,user_6342,Sistem baru bener-bener gagal sehingga error terus. ga jelas bgt.,0
2026-05-12,user_1182,Aplikasi ini biasa saja dan Aplikasi ini yang lain standar.,1
2026-05-21,user_5034,Aplikasi ini kurang memuaskan dan inovatif. mantap lah!,2
2026-05-21,user_8303,Proyek pemerintah lumayan lemot dan gagal. bikin pusing.,0
2026-05-08,user_1103,Fitur AI nya seperti biasa dan Fitur AI nya yang lain perlu sosialisasi lagi.,1
2026-05-28,user_3239,Aplikasi ini sangat memuaskan dan keren. bikin pusing.,2
2026-05-30,user_7643,Pemerintah sangat mengecewakan dan error terus. perlu ditingkatkan.,0
2026-05-10,user_6130,Proyek pemerintah perlu sosialisasi lagi karena Proyek pemerintah yang lain perlu sosialisasi lagi.,1
2026-05-02,user_5320,Aplikasi ini kurang memuaskan karena bagus. semoga makin baik.,2
2026-05-19,user_5319,Pelayanan di sini bener-bener membingungkan karena buruk. ga jelas bgt.,0
2026-05-05,user_3021,Pelayanan di sini perlu sosialisasi lagi karena Pelayanan di sini yang lain standar.,1
2026-05-28,user_1067,Aplikasi ini lumayan memuaskan dan membantu. bikin pusing.,2
2026-05-16,user_7728,Fitur AI nya kurang buruk dan error terus. mantap lah!,0
2026-05-16,user_2789,Aplikasi ini perlu sosialisasi lagi dan Aplikasi ini yang lain biasa saja.,1
2026-05-04,user_4431,Pemerintah bener-bener keren karena memuaskan. bikin pusing.,2
2026-05-28,user_3913,Pemerintah sangat error terus karena membingungkan. perlu ditingkatkan.,0
2026-05-28,user_3585,Sistem baru biasa saja dan Sistem baru yang lain standar.,1
2026-05-13,user_3125,Fitur AI nya tidak keren tapi membantu. semoga makin baik.,2
2026-05-15,user_1215,Pelayanan di sini lumayan error terus karena membingungkan. ga jelas bgt.,0
2026-05-13,user_6006,Fitur AI nya perlu sosialisasi lagi tapi Fitur AI nya yang lain seperti biasa.,1
2026-05-21,user_6770,Pemerintah bener-bener inovatif dan membantu. bikin pusing.,2
2026-05-02,user_9517,Aplikasi ini bener-bener gagal tapi membingungkan. bikin pusing.,0
2026-05-14,user_1182,Pelayanan di sini seperti biasa tapi Pelayanan di sini yang lain standar.,1
2026-05-29,user_4988,Aplikasi ini sangat bagus karena bagus. perlu ditingkatkan.,2
2026-05-14,user_4255,Pelayanan di sini sangat gagal dan error terus. ga jelas bgt.,0
2026-05-17,user_1086,Pemerintah standar karena Pemerintah yang lain standar.,1
2026-05-15,user_6932,Pemerintah tidak keren tapi memuaskan. bikin pusing.,2
2026-05-01,user_7088,Pemerintah kurang lemot sehingga lemot. ga jelas bgt.,0
2026-05-29,user_8175,Sistem baru standar tapi Sistem baru yang lain perlu sosialisasi lagi.,1
2026-05-22,user_4599,Fitur AI nya sangat inovatif tapi keren. mantap lah!,2
2026-05-05,user_6707,Sistem baru tidak mengecewakan karena error terus. semoga makin baik.,0
2026-05-03,user_1259,Aplikasi ini perlu sosialisasi lagi karena Aplikasi ini yang lain perlu sosialisasi lagi.,1
2026-05-14,user_7961,Aplikasi ini tidak bagus dan keren. mantap lah!,2
2026-05-19,user_8428,Sistem baru sangat mengecewakan tapi mengecewakan. bikin pusing.,0
2026-05-29,user_4245,Fitur AI nya perlu sosialisasi lagi karena Fitur AI nya yang lain perlu sosialisasi lagi.,1
2026-05-23,user_5662,Fitur AI nya kurang bagus tapi membantu. perlu ditingkatkan.,2
2026-05-12,user_9730,Fitur AI nya kurang error terus sehingga membingungkan. bikin pusing.,0
2026-05-31,user_5803,Pemerintah perlu sosialisasi lagi tapi Pemerintah yang lain seperti biasa.,1
2026-05-19,user_6411,Aplikasi ini tidak bagus tapi bagus. semoga makin baik.,2
2026-05-23,user_1257,Aplikasi ini tidak buruk sehingga membingungkan. perlu ditingkatkan.,0
2026-05-22,user_2849,Sistem baru biasa saja dan Sistem baru yang lain seperti biasa.,1
2026-05-04,user_9170,Fitur AI nya kurang memuaskan tapi membantu. mantap lah!,2
2026-05-03,user_2019,Pemerintah bener-bener error terus sehingga buruk. semoga makin baik.,0
2026-05-04,user_1472,Pemerintah perlu sosialisasi lagi tapi Pemerintah yang lain seperti biasa.,1
2026-05-06,user_6647,Sistem baru bener-bener membantu tapi memuaskan. ga jelas bgt.,2
2026-05-01,user_3490,Proyek pemerintah lumayan error terus tapi gagal. bikin pusing.,0
2026-05-20,user_5796,Proyek pemerintah seperti biasa tapi Proyek pemerintah yang lain seperti biasa.,1
2026-05-11,user_2190,Sistem baru sangat inovatif sehingga keren. bikin pusing.,2
2026-05-25,user_8582,Sistem baru bener-bener buruk dan lemot. mantap lah!,0
2026-05-14,user_7919,Aplikasi ini biasa saja karena Aplikasi ini yang lain standar.,1
2026-05-19,user_4664,Aplikasi ini kurang membantu karena memuaskan. mantap lah!,2
2026-05-29,user_1605,Pemerintah kurang error terus karena mengecewakan. bikin pusing.,0
2026-05-01,user_3743,Sistem baru perlu sosialisasi lagi dan Sistem baru yang lain biasa saja.,1
2026-05-26,user_4313,Aplikasi ini lumayan keren sehingga membantu. perlu ditingkatkan.,2
2026-05-24,user_8276,Aplikasi ini tidak error terus dan lemot. ga jelas bgt.,0
2026-05-04,user_4818,Sistem baru biasa saja dan Sistem baru yang lain seperti biasa.,1
2026-05-02,user_9223,Pemerintah sangat membantu sehingga memuaskan. bikin pusing.,2
2026-05-23,user_5198,Proyek pemerintah tidak error terus tapi lemot. mantap lah!,0
2026-05-06,user_1398,Fitur AI nya standar karena Fitur AI nya yang lain biasa saja.,1
2026-05-02,user_6722,Pelayanan di sini tidak cepat tapi memuaskan. ga jelas bgt.,2
2026-05-10,user_8272,Proyek pemerintah lumayan gagal sehingga error terus. semoga makin baik.,0
2026-05-02,user_3505,Pemerintah biasa saja tapi Pemerintah yang lain seperti biasa.,1
2026-05-25,user_7938,Pemerintah bener-bener inovatif sehingga memuaskan. ga jelas bgt.,2
2026-05-28,user_4340,Pemerintah tidak error terus karena lemot. bikin pusing.,0
2026-05-04,user_2771,Proyek pemerintah biasa saja dan Proyek pemerintah yang lain perlu sosialisasi lagi.,1
2026-05-08,user_3781,Sistem baru kurang membantu tapi keren. perlu ditingkatkan.,2
2026-05-09,user_9066,Pelayanan di sini bener-bener membingungkan dan buruk. semoga makin baik.,0
2026-05-11,user_4736,Fitur AI nya standar tapi Fitur AI nya yang lain seperti biasa.,1
2026-05-31,user_7597,Sistem baru lumayan keren karena inovatif. mantap lah!,2
2026-05-25,user_4595,Fitur AI nya lumayan gagal dan mengecewakan. ga jelas bgt.,0
2026-05-21,user_5949,Fitur AI nya seperti biasa tapi Fitur AI nya yang lain perlu sosialisasi lagi.,1
2026-05-07,user_1208,Proyek pemerintah kurang keren karena inovatif. bikin pusing.,2
2026-05-21,user_4526,Proyek pemerintah lumayan gagal sehingga lemot. perlu ditingkatkan.,0
2026-05-05,user_2723,Pelayanan di sini perlu sosialisasi lagi sehingga Pelayanan di sini yang lain perlu sosialisasi lagi.,1
2026-05-29,user_9773,Fitur AI nya lumayan bagus sehingga memuaskan. perlu ditingkatkan.,2
2026-05-23,user_7888,Fitur AI nya bener-bener lemot sehingga error terus. ga jelas bgt.,0
2026-05-05,user_7886,Pelayanan di sini seperti biasa dan Pelayanan di sini yang lain seperti biasa.,1
2026-05-24,user_8344,Fitur AI nya tidak inovatif sehingga membantu. perlu ditingkatkan.,2
2026-05-07,user_6109,Pelayanan di sini bener-bener error terus dan membingungkan. semoga makin baik.,0
2026-05-22,user_1023,Sistem baru seperti biasa karena Sistem baru yang lain standar.,1
2026-05-15,user_4124,Proyek pemerintah tidak keren karena keren. bikin pusing.,2
2026-05-20,user_5022,Pemerintah lumayan mengecewakan sehingga gagal. bikin pusing.,0
2026-05-17,user_6720,Proyek pemerintah standar sehingga Proyek pemerintah yang lain seperti biasa.,1
2026-05-10,user_9653,Proyek pemerintah bener-bener cepat karena memuaskan. perlu ditingkatkan.,2
2026-05-27,user_1282,Sistem baru lumayan mengecewakan dan lemot. mantap lah!,0
2026-05-07,user_5116,Sistem baru standar dan Sistem baru yang lain perlu sosialisasi lagi.,1
2026-05-30,user_3361,Aplikasi ini bener-bener memuaskan dan keren. semoga makin baik.,2
2026-05-06,user_6382,Aplikasi ini sangat error terus karena buruk. semoga makin baik.,0
2026-05-26,user_3038,Aplikasi ini standar sehingga Aplikasi ini yang lain seperti biasa.,1
2026-05-13,user_8355,Pelayanan di sini lumayan memuaskan sehingga inovatif. bikin pusing.,2
2026-05-31,user_6066,Pemerintah kurang error terus sehingga error terus. perlu ditingkatkan.,0
2026-05-12,user_9821,Pelayanan di sini standar dan Pelayanan di sini yang lain biasa saja.,1
2026-05-29,user_1355,Proyek pemerintah sangat memuaskan sehingga inovatif. mantap lah!,2
2026-05-09,user_2118,Pelayanan di sini lumayan buruk tapi buruk. mantap lah!,0
2026-05-16,user_1834,Fitur AI nya perlu sosialisasi lagi dan Fitur AI nya yang lain biasa saja.,1
2026-05-01,user_5510,Aplikasi ini tidak cepat sehingga membantu. mantap lah!,2
2026-05-23,user_1157,Pelayanan di sini lumayan mengecewakan sehingga buruk. semoga makin baik.,0
2026-05-21,user_6437,Proyek pemerintah biasa saja tapi Proyek pemerintah yang lain standar.,1
2026-05-24,user_2612,Aplikasi ini bener-bener membantu tapi cepat. mantap lah!,2
2026-05-21,user_1527,Proyek pemerintah kurang lemot tapi lemot. mantap lah!,0
2026-05-23,user_8225,Pemerintah seperti biasa karena Pemerintah yang lain biasa saja.,1
2026-05-12,user_6738,Pemerintah lumayan cepat sehingga memuaskan. ga jelas bgt.,2
2026-05-12,user_8157,Proyek pemerintah tidak lemot dan buruk. semoga makin baik.,0
2026-05-22,user_7216,Proyek pemerintah biasa saja tapi Proyek pemerintah yang lain biasa saja.,1
2026-05-26,user_2620,Fitur AI nya bener-bener memuaskan sehingga memuaskan. bikin pusing.,2
2026-05-17,user_4513,Sistem baru tidak gagal karena membingungkan. perlu ditingkatkan.,0
2026-05-17,user_1469,Aplikasi ini seperti biasa sehingga Aplikasi ini yang lain seperti biasa.,1
2026-05-27,user_9778,Fitur AI nya sangat keren dan keren. mantap lah!,2
2026-05-08,user_5080,Pemerintah bener-bener gagal sehingga lemot. mantap lah!,0
2026-05-11,user_5510,Sistem baru standar tapi Sistem baru yang lain perlu sosialisasi lagi.,1
2026-05-02,user_3535,Proyek pemerintah sangat membantu dan bagus. ga jelas bgt.,2
2026-05-14,user_4692,Sistem baru bener-bener mengecewakan tapi error terus. mantap lah!,0
2026-05-03,user_1937,Pelayanan di sini biasa saja dan Pelayanan di sini yang lain standar.,1
2026-05-18,user_1736,Pelayanan di sini lumayan bagus tapi keren. ga jelas bgt.,2
2026-05-31,user_6092,Pemerintah kurang error terus sehingga gagal. perlu ditingkatkan.,0
2026-05-28,user_1605,Pemerintah standar tapi Pemerintah yang lain standar.,1
2026-05-25,user_7067,Proyek pemerintah bener-bener keren dan inovatif. perlu ditingkatkan.,2
2026-05-12,user_7751,Sistem baru bener-bener gagal sehingga gagal. semoga makin baik.,0
2026-05-06,user_5803,Proyek pemerintah biasa saja dan Proyek pemerintah yang lain standar.,1
2026-05-02,user_8954,Pelayanan di sini sangat cepat dan memuaskan. bikin pusing.,2
2026-05-19,user_1437,Aplikasi ini tidak error terus karena gagal. bikin pusing.,0
2026-05-29,user_4065,Pemerintah biasa saja dan Pemerintah yang lain biasa saja.,1
2026-05-27,user_7043,Proyek pemerintah bener-bener membantu dan memuaskan. bikin pusing.,2
2026-05-28,user_3668,Proyek pemerintah bener-bener lemot sehingga buruk. ga jelas bgt.,0
2026-05-28,user_8637,Proyek pemerintah perlu sosialisasi lagi tapi Proyek pemerintah yang lain biasa saja.,1
2026-05-30,user_9806,Sistem baru kurang keren dan membantu. semoga makin baik.,2
2026-05-05,user_4967,Pemerintah kurang membingungkan tapi error terus. semoga makin baik.,0
2026-05-18,user_1700,Pemerintah seperti biasa karena Pemerintah yang lain biasa saja.,1
2026-05-03,user_2178,Proyek pemerintah lumayan inovatif sehingga membantu. semoga makin baik.,2
2026-05-09,user_2146,Pelayanan di sini kurang membingungkan karena mengecewakan. semoga makin baik.,0
2026-05-03,user_2342,Fitur AI nya seperti biasa dan Fitur AI nya yang lain seperti biasa.,1
2026-05-26,user_7712,Proyek pemerintah sangat membantu tapi membantu. ga jelas bgt.,2
2026-05-07,user_7891,Fitur AI nya bener-bener membingungkan tapi buruk. mantap lah!,0
2026-05-17,user_2626,Sistem baru biasa saja dan Sistem baru yang lain biasa saja.,1
2026-05-09,user_3296,Pelayanan di sini tidak memuaskan tapi bagus. ga jelas bgt.,2
2026-05-09,user_4325,Pelayanan di sini sangat lemot tapi membingungkan. perlu ditingkatkan.,0
2026-05-05,user_3105,Aplikasi ini standar sehingga Aplikasi ini yang lain standar.,1
2026-05-11,user_4421,Fitur AI nya bener-bener cepat tapi inovatif. bikin pusing.,2
2026-05-10,user_7907,Pelayanan di sini lumayan buruk tapi gagal. bikin pusing.,0
2026-05-24,user_8129,Fitur AI nya standar tapi Fitur AI nya yang lain standar.,1
2026-05-03,user_9487,Aplikasi ini sangat cepat dan keren. mantap lah!,2
2026-05-21,user_2792,Proyek pemerintah lumayan lemot tapi mengecewakan. mantap lah!,0
2026-05-11,user_6347,Pemerintah standar dan Pemerintah yang lain standar.,1
2026-05-09,user_4661,Pemerintah kurang bagus tapi keren. mantap lah!,2
2026-05-11,user_8339,Pemerintah sangat error terus sehingga buruk. mantap lah!,0
2026-05-30,user_9583,Fitur AI nya perlu sosialisasi lagi tapi Fitur AI nya yang lain seperti biasa.,1
2026-05-05,user_2980,Fitur AI nya lumayan bagus tapi membantu. semoga makin baik.,2
2026-05-19,user_8633,Pemerintah kurang lemot tapi gagal. perlu ditingkatkan.,0
2026-05-20,user_9152,Aplikasi ini standar tapi Aplikasi ini yang lain perlu sosialisasi lagi.,1
2026-05-08,user_6804,Pelayanan di sini tidak memuaskan tapi cepat. bikin pusing.,2
2026-05-24,user_4937,Pemerintah lumayan buruk tapi gagal. bikin pusing.,0
